;Códigodo_fundo;Setor;Preço_Atual;Liquidez_Diária;Dividendo;DividendYield;DY_(3M)Acumulado;DY_(6M)Acumulado;DY_(12M)Acumulado;DY_(3M)Média;DY_(6M)Média;DY_(12M)Média;DY_Ano;Variação_Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;VariaçãoPatrimonial;Rentab._Patr.no_Período;Rentab._Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos
242;FAED11;Outros;151.00;159.0;1.54;1.03;3.28;6.48;11.49;1.09;1.08;0.96;8.25;8.85;9.98;11.83;138.838.503.88;216.20;70.0;0.71;0.01;0.72;2.03;0.00;0;3
243;RBRP11;Outros;60.00;17876.0;0.45;0.74;2.35;4.55;8.38;0.78;0.76;0.70;5.84;10.91;11.73;-8.53;1.000.871.920.39;82.18;73.0;0.55;0.28;0.83;2.36;13.00;6.00;17
244;MAXR11;Outros;85.17;538.0;0.70;0.81;2.46;5.01;9.38;0.82;0.83;0.78;5.37;12.82;13.73;12.31;136.153.662.99;120.96;70.0;0.55;0.55;1.10;2.64;2.80;0;8
245;BRCR11;Híbrido;68.77;26254.0;0.47;0.67;2.27;4.41;8.63;0.76;0.73;0.72;5.14;21.12;21.93;8.74;2.689.411.478.04;100.96;68.0;0.47;-0.54;-0.08;-2.46;21.00;25.80;15
246;NCHB11;Títulos e Val. Mob.;92.50;4402.0;1.35;1.42;4.33;7.40;14.64;1.44;1.23;1.22;10.20;1.21;2.65;6.78;138.440.850.85;95.28;97.0;1.47;0.45;1.93;3.33;0;0;0
247;BTCR11;Títulos e Val. Mob.;94.99;8412.0;0.95;1.00;3.42;7.32;13.29;1.14;1.22;1.11;9.66;-2.59;-1.62;13.33;460.092.226.48;95.65;99.0;1.31;-0.97;0.32;2.06;0;0;0
248;FEXC11;Títulos e Val. Mob.;87.27;7486.0;0.90;1.01;3.57;7.20;13.41;1.19;1.20;1.12;9.42;2.41;3.44;10.41;567.521.520.03;92.98;94.0;1.29;-0.56;0.72;5.53;0;0;0
249;BCFF11;Títulos e Val. Mob.;71.25;34227.0;0.56;0.77;2.53;4.97;9.43;0.84;0.83;0.79;6.52;7.31;8.13;8.60;1.941.830.242.24;77.10;92.0;0.78;-1.49;-0.73;0.42;0;0;0
250;CEOC11;Lajes Corporativas;60.75;693.0;0.50;0.82;2.49;4.88;9.67;0.83;0.81;0.81;6.57;1.91;2.75;13.70;163.633.334.88;90.12;67.0;0.55;-0.23;0.32;1.25;0.00;0;1
251;VSLH11;Outros;8.93;80137.0;0.12;1.36;3.62;7.30;15.22;1.21;1.22;1.27;9.68;-6.18;-4.90;-0.63;312.012.494.54;10.45;85.0;0.67;0.42;1.09;14.02;0;0;0
252;BLMG11;Logística;84.10;5741.0;0.80;0.94;3.02;5.86;11.39;1.01;0.98;0.95;7.61;11.18;12.23;-2.59;348.530.026.26;91.46;92.0;0.87;-1.17;-0.30;-4.72;0.00;0.00;4
253;BMLC11;Lajes Corporativas;97.20;5004.0;0.72;0.74;2.28;4.56;9.02;0.76;0.76;0.75;5.86;-1.98;-1.26;12.81;109.067.209.47;109.24;89.0;0.86;-0.01;0.85;1.94;7.00;0;2
254;DVFF11;Híbrido;78.47;159.0;0.75;0.95;3.17;6.34;0.00;1.06;1.06;0.00;7.98;18.86;19.99;-2.93;100.007.771.70;90.84;86.0;0.83;0.08;0.91;4.54;0;0;0
255;CXCI11;Outros;84.59;5665.0;0.83;0.98;3.11;0.00;0.00;1.04;0.00;0.00;4.87;11.16;12.26;0.85;197.247.561.59;95.86;88.0;0.87;-0.27;0.60;0.77;0;0;0
256;RBRL11;Logística;95.16;6661.0;0.65;0.68;2.25;4.46;9.26;0.75;0.74;0.77;5.81;8.99;9.73;9.77;723.196.552.96;108.15;88.0;0.60;0.88;1.48;5.78;0.00;0.00;6
257;MGLG11;Logística;43.19;2128.0;0.16;0.34;2.71;6.32;11.54;0.90;1.05;0.96;8.63;13.86;14.24;-5.63;73.872.096.87;39.12;110.0;1.28;-17.42;-16.36;-49.65;0.00;0;3
258;FLCR11;Títulos e Val. Mob.;97.16;636.0;1.00;1.02;3.87;8.59;17.04;1.29;1.43;1.42;11.07;-0.59;0.42;10.23;63.274.311.16;99.86;97.0;1.15;-0.14;1.01;6.58;0;0;0
259;RECR11;Títulos e Val. Mob.;91.45;48348.0;0.80;0.85;3.05;7.59;14.59;1.02;1.26;1.22;9.80;-2.64;-1.81;0.79;2.523.788.855.81;95.45;96.0;1.07;0.00;1.07;9.86;0;0;0
260;RECT11;Híbrido;61.67;9437.0;0.50;0.79;2.51;4.92;9.53;0.84;0.82;0.79;6.41;4.39;5.22;-3.75;806.023.791.96;94.34;65.0;0.53;-2.01;-1.48;0.19;15.10;0;8
261;RELG11;Híbrido;86.01;1271.0;0.80;0.88;3.33;6.75;12.53;1.11;1.12;1.04;8.50;13.58;14.58;23.06;159.659.840.70;119.63;72.0;0.79;-0.38;0.41;3.23;10.40;10.40;3
262;GTLG11;Outros;99.99;61.0;0.70;0.70;2.10;4.20;0.00;0.70;0.70;0.00;5.61;0.49;1.20;7.35;666.682.130.07;92.94;108.0;0.75;-0.03;0.73;0.63;0;0;0
263;ERPA11;Outros;133.50;11.0;0.70;0.54;0.75;0.00;0.00;0.25;0.00;0.00;1.22;0.00;0.54;1.33;58.204.304.27;116.19;115.0;0.23;0.69;0.92;1.36;0;0;0
264;BLCA11;Lajes Corporativas;91.49;1.0;0.56;0.61;1.70;3.23;0.00;0.57;0.54;0.00;3.75;0.00;0.61;-3.09;143.099.245.21;89.44;102.0;0.56;-6.65;-6.12;-15.05;0.00;0;1
265;CVBI11;Títulos e Val. Mob.;90.56;48920.0;0.74;0.81;3.13;7.18;13.89;1.04;1.20;1.16;9.38;-6.00;-5.24;-1.32;1.099.164.263.13;99.83;91.0;1.00;0.12;1.13;8.88;0;0;0
266;RVBI11;Títulos e Val. Mob.;80.90;2874.0;0.75;0.93;2.91;5.80;11.33;0.97;0.97;0.94;7.67;6.02;7.00;7.87;123.765.470.49;85.95;94.0;0.87;-0.22;0.65;4.04;0;0;0
267;CPFF11;Híbrido;73.68;4508.0;0.62;0.84;2.57;5.14;10.15;0.86;0.86;0.85;7.02;6.58;7.47;10.62;419.112.065.05;76.90;96.0;0.78;-0.49;0.29;1.13;0;0;0
268;IBCR11;Títulos e Val. Mob.;90.02;1296.0;1.25;1.36;4.09;8.23;0.00;1.36;1.37;0.00;11.32;1.44;2.82;5.85;93.170.093.40;97.21;93.0;1.29;-1.07;0.20;6.84;0;0;0
269;RBRF11;Títulos e Val. Mob.;74.40;37674.0;0.60;0.79;2.67;5.13;10.06;0.89;0.85;0.84;6.80;7.46;8.31;12.30;1.149.405.774.49;84.02;89.0;0.71;-1.84;-1.14;-0.44;0;0;0
270;RBRR11;Títulos e Val. Mob.;94.90;32392.0;1.00;1.04;3.42;6.95;12.93;1.14;1.16;1.08;9.08;-2.05;-1.03;2.38;1.046.711.585.04;96.56;98.0;1.24;-2.21;-0.99;1.34;0;0;0
271;RBRY11;Títulos e Val. Mob.;102.50;8213.0;1.20;1.15;3.87;7.52;13.90;1.29;1.25;1.16;9.69;2.37;3.55;7.10;401.515.245.72;102.43;100.0;1.22;-0.88;0.33;2.29;0;0;0
272;IRDM11;Títulos e Val. Mob.;101.80;68290.0;1.27;1.23;3.75;7.28;13.99;1.25;1.21;1.17;9.40;1.35;2.60;3.06;3.149.582.133.20;95.31;107.0;1.39;-1.66;-0.29;1.86;0;0;0
273;IRIM11;Híbrido;104.84;1495.0;1.16;1.07;4.22;8.00;0.00;1.41;1.33;0.00;10.93;5.63;6.77;8.45;130.503.385.72;100.39;104.0;1.14;-0.40;0.73;2.13;0;0;0
274;GAME11;Híbrido;9.55;10360.0;0.10;1.04;3.86;7.99;0.00;1.29;1.33;0.00;10.15;-2.43;-1.42;-2.79;198.983.105.99;9.66;99.0;1.35;-1.11;0.22;-98.91;0;0;0
275;CPTS11;Títulos e Val. Mob.;91.43;55297.0;1.10;1.20;3.64;7.13;13.58;1.21;1.19;1.13;9.40;2.09;3.32;3.23;2.612.266.966.14;93.39;98.0;1.18;-0.58;0.59;1.77;0;0;0
276;VGIR11;Títulos e Val. Mob.;10.01;237223.0;0.13;1.30;3.77;7.46;12.83;1.26;1.24;1.07;9.73;-90.13;-90.00;-89.17;729.972.953.61;96.42;10.0;1.35;-0.19;1.15;4.42;0;0;0
277;VGIP11;Outros;91.00;30013.0;1.00;1.10;3.61;8.26;16.45;1.20;1.38;1.37;10.71;-2.28;-1.20;0.26;1.076.770.309.25;91.35;100.0;1.09;-0.82;0.26;6.06;0;0;0
278;VGIA11;Títulos e Val. Mob.;10.16;448252.0;0.17;1.67;4.91;9.04;0.00;1.64;1.51;0.00;11.61;-1.84;-0.19;7.56;95.747.517.22;9.51;107.0;1.58;0.07;1.65;3.04;0;0;0
279;MGHT11;Hotel;68.86;3092.0;0.80;1.16;3.64;6.82;12.02;1.21;1.14;1.00;8.67;6.04;7.27;-14.77;113.860.987.10;86.67;79.0;0.90;-10.30;-9.49;-7.85;0;0;0
280;MCCI11;Títulos e Val. Mob.;98.05;26991.0;1.10;1.12;3.37;6.48;12.40;1.12;1.08;1.03;8.47;0.87;2.01;5.10;1.411.454.086.46;96.71;101.0;1.14;-0.83;0.30;3.12;0;0;0
281;BRLA11;Híbrido;150.00;334.0;1.09;0.73;1.52;3.69;7.02;0.51;0.61;0.59;5.01;8.70;9.49;14.26;343.097.427.78;158.19;95.0;0.78;-12.35;-11.67;-10.88;0;0;0
282;MCHF11;Títulos e Val. Mob.;9.73;112072.0;0.11;1.13;3.66;7.01;0.00;1.22;1.17;0.00;9.17;2.21;3.36;5.12;312.636.898.43;9.68;101.0;1.24;-1.04;0.18;-2.08;0;0;0
283;TRNT11;Lajes Corporativas;112.00;30.0;0.28;0.25;0.97;2.07;4.23;0.32;0.35;0.35;2.77;-1.75;-1.51;6.79;796.883.036.16;202.48;55.0;0.25;0.01;0.26;0.65;49.90;0;1
